Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_1_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	87328567.0	0.0	150.0	46.0	26.75730535111881	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_2_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM09GDLI02_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	87328567.0	0.0	150.0	46.0	28.92474182265388	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_1_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	75054237.0	0.0	150.0	46.0	26.687593523183097	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_2_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM10GDLI33_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	75054237.0	0.0	150.0	46.0	29.045703608642786	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_1_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	70495144.0	0.0	150.0	47.0	30.32932150757613	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_2_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM11GDLN02_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	70495144.0	0.0	150.0	48.0	33.149129081218184	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_1_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	78102347.0	0.0	150.0	45.0	39.617060156250005	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_2_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM12GDLT01_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	78102347.0	0.0	150.0	45.0	38.03877749527619	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_1_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_1_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	79282860.0	0.0	150.0	45.0	36.23886121189878	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_2_sequence	H5JNHBGXC_iPCR_mix2_19s003539-1-1_Perino_lane1DM13GDLZH23_2_sequence.txt.gz	Conventional base calls	Sanger / Illumina 1.9	79282860.0	0.0	150.0	45.0	35.014192193110944	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
